constraint_type,scan1_index,scan2_index,position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w
3,9,19,-1.02118,0.0657413,0.0881778,0.00372828,0.00520044,-0.25576,0.966719
1,28,29,-0.0907845,0.0922815,-0.00421507,-0.00017532,0.0119206,0.0363916,0.999266
0,31,32,-0.287803,0.0139367,0.0507382,-0.00945943,0.00683796,0.0311001,0.999448
3,13,24,-0.981536,-0.333412,0.141808,0.0156219,-0.0100304,0.523002,0.852129
1,29,30,-0.172466,0.0759508,-0.0206447,-0.00735393,-0.000936411,0.00192131,0.999971
0,32,33,-0.315884,-0.0116876,0.0275129,-0.00851635,0.00383383,0.0029197,0.999952
3,9,20,-1.0254,-0.221046,0.0856833,0.00389634,0.00649088,-0.0732863,0.997282
1,30,31,-0.203336,0.0741984,0.00466206,0.0103404,0.00644892,0.0533725,0.9985
0,33,34,-0.267313,-0.0161256,-0.00147213,0.00300603,0.000440309,0.00289872,0.999991
3,14,24,-1.04047,-0.207423,0.129589,0.0157889,-0.00724838,0.691307,0.722353
1,31,32,-0.285507,0.000310331,0.0371349,0.0151827,0.000384635,0.0273186,0.999511
0,34,35,-0.196166,-0.025002,-0.00329604,0.0084324,-0.0128961,-0.0335835,0.999317
3,10,22,-1.07589,-0.410769,0.124141,0.0251154,0.00512102,0.0777324,0.996645
1,32,33,-0.325523,-0.0253221,0.000676517,-0.00529963,-0.0199222,0.00115662,0.999787
0,35,36,-0.00604035,-0.111561,-0.042313,-0.00464114,-0.0105061,-0.218016,0.975878
3,9,21,-1.02888,-0.525042,0.0877605,0.018838,0.00913882,0.0838043,0.996262
1,33,34,-0.280714,0.0324226,-0.012909,-0.000539492,0.00549418,0.0174637,0.999832
0,36,37,0.0958618,-0.0708774,-0.0154356,-0.026771,0.0205912,-0.214581,0.976122
3,11,23,-1.12032,-0.306542,0.125637,0.0230249,0.00415814,0.117767,0.992766
1,34,35,-0.208257,-0.0259933,0.0441807,-0.0115549,0.0012403,-0.0413715,0.999076
0,37,38,-0.0188334,-0.180531,-0.0290925,-0.0202453,0.0254739,-0.250335,0.967612
3,12,24,-1.05959,-0.484369,0.130583,0.014774,-0.00509512,0.299869,0.953852
1,35,36,0.0357876,-0.146585,0.0568755,-0.0117945,-0.0159822,-0.228677,0.9733
0,38,39,-0.028496,-0.139322,-0.00849222,0.000266302,0.00605793,-0.246143,0.969215
3,8,18,-1.00186,0.609853,0.0817663,0.0104388,0.00849916,-0.282516,0.959168
1,36,37,-0.0465578,-0.146235,-0.0159276,0.000787121,0.00459038,-0.271932,0.962305
0,39,40,0.0383148,-0.166335,-0.0511711,0.00227876,-0.0343993,0.212292,-0.976598
3,8,19,-1.28676,0.114056,0.100645,0.0104474,0.00685757,-0.0265286,0.99957
1,37,38,0.00260681,-0.164402,0.0299695,-0.00966409,-0.0126565,-0.284189,0.958636
0,40,41,0.0107797,-0.10629,-0.0692289,-0.0176647,0.0217601,-0.163095,0.986212
3,8,20,-1.29043,-0.272216,0.0983442,0.0103225,0.00906515,0.158073,0.987332
1,38,39,0.00186843,-0.178234,0.0192277,-0.0110586,0.0142208,-0.283019,0.958945
0,41,42,-0.127808,-0.0405339,-0.0155388,-0.00341493,0.00687208,-0.0863358,0.996237
3,28,38,-0.158487,1.40437,0.0252221,-0.00928314,-0.0222236,-0.64174,0.766544
1,39,40,0.0132291,-0.121328,-0.0215738,0.0081682,-0.00334983,-0.197503,0.980262
0,42,43,-0.156297,-0.0171142,-0.0237908,0.0134147,0.00902024,0.0061516,0.99985
3,29,39,0.415373,1.06761,0.0115577,-0.0413941,-0.0322034,-0.851237,0.522154
1,40,41,0.00349234,-0.108575,0.00613346,-0.014945,0.000945582,-0.15476,0.987839
0,43,44,-0.233389,-0.0026729,0.0114561,0.00897474,0.00498077,0.0072947,0.999921
3,30,40,0.582935,0.654552,0.0408905,-0.0389771,-0.0225065,-0.938414,0.342568
1,41,42,-0.140305,-0.0697094,0.000472297,-0.020442,0.00159829,-0.0782087,0.996726
0,44,45,-0.212695,-0.0317188,0.0329153,-0.0116071,-0.0029086,-0.00843283,0.999893
3,31,41,0.509129,0.333824,0.0507106,-0.0491007,-0.0236387,-0.988762,0.139214
1,42,43,-0.185148,-0.0346709,-0.0350663,-0.0067581,0.0012023,0.0155964,0.999855
0,45,46,-0.174122,-0.0346617,0.0142704,0.00312432,0.000413332,-0.00639155,0.999975
3,32,42,0.119918,0.169237,0.0369531,-0.0513937,-0.0264114,-0.997804,0.0323766
1,43,44,-0.220622,-0.0338475,-0.0337788,-0.00285874,-0.00324379,0.000523423,0.999991
0,46,47,-0.14832,-0.0121673,-0.0128418,-0.00551832,-0.00328484,-0.00323205,0.999974
3,32,43,-0.0693881,0.132483,0.000282872,-0.0526015,-0.033865,-0.996905,0.0476086
1,44,45,-0.223694,-0.0175314,-0.00352264,0.0105209,0.0157672,-0.00421967,0.999811
0,47,48,-0.24363,-0.0317182,0.0260659,-0.0063122,0.00777907,-0.0133408,0.999861
3,31,44,-0.00563748,0.143458,-0.0298502,-0.050189,-0.0506869,-0.994566,0.0758337
1,45,46,-0.182321,-0.000237456,-0.0281073,-0.0175395,0.000599264,-0.000364568,0.999846
0,48,49,-0.211594,-0.0928581,0.0194695,-0.00698333,0.0175771,-0.188077,0.981972
3,30,45,-0.0144151,0.107363,-0.0402837,-0.0612568,-0.0459082,-0.988907,0.127289
1,46,47,-0.169124,0.023047,-0.0208103,0.00231105,0.00176343,-0.00546975,0.999981
0,49,50,-0.0852847,-0.10476,0.0172064,-0.0177382,0.00842461,-0.210554,0.977385
3,29,46,-0.0141011,0.07126,-0.110058,-0.0660206,-0.0558678,-0.988097,0.12722
1,47,48,-0.259194,-0.0390315,0.0364956,-0.00534626,0.00291385,-0.0194534,0.999792
0,50,51,-0.15523,-0.0456878,-0.000122055,-0.0190997,0.00382298,-0.0765979,0.996872
3,28,46,0.101124,0.0126413,-0.117967,-0.0561575,-0.0525938,-0.983488,0.163801
1,48,49,-0.186952,-0.0751299,-0.0661403,0.00369112,0.0126595,-0.209947,0.977624
0,51,52,-0.276598,-0.10741,-0.0417832,-0.0444024,0.0113115,-0.202095,0.978293
3,28,47,-0.0680983,0.0370668,-0.138367,-0.0578273,-0.0497393,-0.984384,0.15865
